path_or_pattern,type,section,source,author,license,license_url,attribution,status,risk,notes
frontend/public/logo-nlmk.svg,logo,brand,Official NLMK logo package,NLMK,internal brand asset,,NLMK,verified,low,Use for light backgrounds.
frontend/public/logo-nlmk-white.svg,logo,brand,Official NLMK logo package,NLMK,internal brand asset,,NLMK,verified,low,Use for dark backgrounds.
frontend/public/img/swan-hero.svg,image,home hero,Project-generated vector,Green Book project,internal project asset,,none,verified,low,Fallback vector if owner-supplied raster hero is unavailable.
frontend/public/img/swan-hero.png,image,home hero,Generated by product owner,product owner,owner-generated project asset,,none,verified,low,Hero image generated by product owner and provided for the title page header on 2026-06-03.
frontend/public/img/group-covers/*.svg,image,group covers,Project-generated vector,Green Book project,internal project asset,,none,verified,low,Replaces legacy species-pdf group previews.
frontend/public/img/group-covers/*.jpg,image,group covers,Wikimedia Commons,see docs/content-rights/media-audit.csv,mixed CC BY/CC BY-SA/CC0/Public Domain,see media-audit.csv,show source/license if attribution page is exposed,verified,low,Locally normalized JPEG selected by media rights audit.
frontend/public/img/exhibition-rights-pending.svg,image,exhibition placeholder,Project-generated vector,Green Book project,internal project asset,,none,verified,low,Shown while exhibition photo permissions are pending.
frontend/public/img/exhibition/birds-2025/*.jpg,image,photo exhibition,Written author permissions,authors listed in frontend/src/data/exhibitionBirds2025.ts,разрешение автора,,show author in exhibition card,verified,low,Published after author acceptances received; files normalized for web without EXIF.
backend/media/species/*.jpg,image,species cards,Wikimedia Commons,see docs/content-rights/media-audit.csv,mixed CC BY/CC BY-SA/CC0/Public Domain,see media-audit.csv,show source/license on attribution page,verified,low,Locally normalized JPEG species photos selected by media rights audit.
backend/media/species-audio/*,audio,species cards,Wikimedia Commons / public domain sources,see backend/media/species-audio/SOURCES.md,mixed CC BY/CC BY-SA/CC0/Public Domain,,show source/license on species card,verified,low,NC/ND xeno-canto files were removed and disabled by media rights backfill.
