photo_number,asset_id,title,description,author,original_path,permission_request_status,permission_request_sent_at,permission_acceptance_status,permission_accepted_at,acceptance_evidence,allowed_use_scope,notes
2,exhibition:photo-2,Серые цапли и серебристые чайки,"Ранней весной, когда большинство рек Липецкой области еще скованы льдом, техногенные водоемы являются местом отдыха для многих видов мигрирующих птиц. Серые цапли и серебристые чайки на незамерзающих прудах-отстойниках НЛМК.",В. Сарычев,frontend/public/img/exhibition/birds-2025/photo-02.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
3,exhibition:photo-3,Мигрирующие утки,"В марте в многочисленных стаях мигрирующих крякв, отдыхающих на прудах-отстойниках, можно встретить и другие виды уток: шилохвостей, свиязей, чирков, гоголей, чернетей и крохалей.",В. Сарычев,frontend/public/img/exhibition/birds-2025/photo-03.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
5,exhibition:photo-5,Кряквы на восходе,На восходе солнца. Кряквы на прудах-отстойниках НЛМК.,В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-05.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
7,exhibition:photo-7,Чомга,"Среди нескольких десятков видов водных птиц, обитающих на прудах-отстойниках НЛМК, особым изяществом и необычными брачными танцами выделяются чомги.",В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-07.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
9,exhibition:photo-9,Лысуха,"Одной из характерных для прудов-отстойников птиц является лысуха: здесь она и зимует, здесь же и гнездится. Спор самцов лысухи за гнездовую территорию.",В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-09.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
10,exhibition:photo-10,Обыкновенный гоголь,"Обыкновенный гоголь - один из видов диких уток, использующий пруды-отстойники для зимовок. Гоголи прилетают на эти водоемы в октябре и, пережидая суровую зиму, держатся на незамерзающих прудах до апреля.",А. Щербаков,frontend/public/img/exhibition/birds-2025/photo-10.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
11,exhibition:photo-11,Дроздовидная камышовка,"Прибрежные тростниковые заросли, окаймляющие пруды-отстойники, служат местом гнездования многих видов птиц. Дроздовидная камышовка у своего гнезда.",А. Григоров,frontend/public/img/exhibition/birds-2025/photo-11.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
13,exhibition:photo-13,Птенец малой крачки,"Отмели, образующиеся на прудах-отстойниках, используют для гнездования малые крачки - очень редкие птицы, занесенные в Красную книгу России. Птенец малой крачки.",В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-13.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
14,exhibition:photo-14,Коростель,"В мае на прудах-отстойниках можно услышать, а если повезет, то и увидеть коростеля - очень скрытную птицу, обитающую в зарослях густой травы.",В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-14.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
15,exhibition:photo-15,Выводок крякв,"Дикие утки давно облюбовали пруды-отстойники НЛМК не только для зимовок и остановок во время сезонных миграций, но и для гнездования. Выводок крякв.",В. Мелихов,frontend/public/img/exhibition/birds-2025/photo-15.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
16,exhibition:photo-16,Ходулочник,"На берегах и отмелях прудов-отстойников можно встретить многие виды куликов. Один из них - ходулочник, имеющий своеобразный внешний вид и окраску. Из-за своей редкости он занесен в Красную книгу Липецкой области.",В. Сарычев,frontend/public/img/exhibition/birds-2025/photo-16.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
17,exhibition:photo-17,Чайки-хохотуньи и речные крачки,"Островки, окруженные водой, - излюбленные места отдыха разных видов чаек и крачек. Чайки-хохотуньи и речные крачки на прудах-отстойниках НЛМК.",В. Сарычев,frontend/public/img/exhibition/birds-2025/photo-17.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
20,exhibition:photo-20,Стая чаек,"В летнее время на прудах-отстойниках НЛМК порой можно наблюдать, словно на морских побережьях, многочисленные стаи чаек.",В. Сарычев,frontend/public/img/exhibition/birds-2025/photo-20.jpg,направлен запрос,2026-06-04,получен акцепт от автора,2026-06-04,confirmed by product owner in Codex thread on 2026-06-04; replace with email/document link if required for formal archive,публикация в веб-приложении Зеленая книга НЛМК; хранение в инфраструктуре проекта; техническая обработка без изменения смысла; указание автора,Согласование получено; фото можно отображать в разделе Выставка с указанием автора.
