asset_id,type,section,name_ru,name_latin,local_path,source_url,source_page,author,license,license_url,attribution_required,status,risk,decision,permission_candidate,notes
species-image:Балобан,species_image,species catalog,Балобан,Falco cherrug,backend/media/species/falco-cherrug.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Falco_cherrug_1_%28Bohu%C5%A1_%C4%8C%C3%AD%C4%8Del%29.jpg/960px-Falco_cherrug_1_%28Bohu%C5%A1_%C4%8C%C3%AD%C4%8Del%29.jpg,https://commons.wikimedia.org/wiki/File:Falco_cherrug_1_(Bohu%C5%A1_%C4%8C%C3%AD%C4%8Del).jpg,Bohuš Číčel (https://www.flickr.com/photos/bcicel/),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Falco cherrug 1 (Bohuš Číčel).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Белоспинный дятел,species_image,species catalog,Белоспинный дятел,Dendrocopos leucotos,backend/media/species/dendrocopos-leucotos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dendrocopos_leucotos.jpg/960px-Dendrocopos_leucotos.jpg,https://commons.wikimedia.org/wiki/File:Dendrocopos_leucotos.jpg,Ubailves,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Dendrocopos leucotos.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Беркут,species_image,species catalog,Беркут,Aquila chrysaetos,backend/media/species/aquila-chrysaetos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Maakotka_%28Aquila_chrysaetos%29_by_Jarkko_J%C3%A4rvinen.jpg/960px-Maakotka_%28Aquila_chrysaetos%29_by_Jarkko_J%C3%A4rvinen.jpg,https://commons.wikimedia.org/wiki/File:Maakotka_(Aquila_chrysaetos)_by_Jarkko_J%C3%A4rvinen.jpg,Jarkko Järvinen,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Maakotka (Aquila chrysaetos) by Jarkko Järvinen.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Большая белая цапля,species_image,species catalog,Большая белая цапля,Ardea alba,backend/media/species/ardea-alba.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Ardea_alba4.jpg/960px-Ardea_alba4.jpg,https://commons.wikimedia.org/wiki/File:Ardea_alba4.jpg,Calibas,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Ardea alba4.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Большая выпь,species_image,species catalog,Большая выпь,Botaurus stellaris,backend/media/species/botaurus-stellaris.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Eurasian_Bittern_-_Torrile_-_Italy_4528_%2815409347121%29.jpg,https://commons.wikimedia.org/wiki/File:Eurasian_Bittern_-_Torrile_-_Italy_4528_(15409347121).jpg,Francesco Veronesi from Italy,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Eurasian Bittern - Torrile - Italy 4528 (15409347121).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Большая синица,species_image,species catalog,Большая синица,Parus major,backend/media/species/parus-major.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Great_tit_%28Parus_major%29%2C_Parc_de_Woluw%C3%A9%2C_Brussels_%2813042792905%29.jpg/960px-Great_tit_%28Parus_major%29%2C_Parc_de_Woluw%C3%A9%2C_Brussels_%2813042792905%29.jpg,"https://commons.wikimedia.org/wiki/File:Great_tit_(Parus_major),_Parc_de_Woluw%C3%A9,_Brussels_(13042792905).jpg","Frank Vassen from Brussels, Belgium",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Great tit (Parus major), Parc de Woluwé, Brussels (13042792905).jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Большой веретенник,species_image,species catalog,Большой веретенник,Limosa limosa,backend/media/species/limosa-limosa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/.00_2789_Uferschnepfe_%28Limosa_limosa%29.jpg/960px-.00_2789_Uferschnepfe_%28Limosa_limosa%29.jpg,https://commons.wikimedia.org/wiki/File:.00_2789_Uferschnepfe_(Limosa_limosa).jpg,W. Bulach,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:.00 2789 Uferschnepfe (Limosa limosa).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Большой подорлик,species_image,species catalog,Большой подорлик,Clanga clanga,backend/media/species/clanga-clanga.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Great_spotted_Eagle_I2_IMG_8358.jpg,https://commons.wikimedia.org/wiki/File:Great_spotted_Eagle_I2_IMG_8358.jpg,J.M.Garg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Great spotted Eagle I2 IMG 8358.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Волчек (малая выпь),species_image,species catalog,Волчек (малая выпь),Ixobrychus minutus,backend/media/species/ixobrychus-minutus.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Ixobrychus_minutus_2_%28Marek_Szczepanek%29.jpg,https://commons.wikimedia.org/wiki/File:Ixobrychus_minutus_2_(Marek_Szczepanek).jpg,Marek Szczepanek,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,yes,verified,low,use,no,Commons search; Wikimedia Commons file File:Ixobrychus minutus 2 (Marek Szczepanek).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Галка,species_image,species catalog,Галка,Coloeus monedula,backend/media/species/coloeus-monedula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Coloeus_monedula_-Munkedal%2C_Vastra_Gotaland%2C_Sweden-8.jpg/960px-Coloeus_monedula_-Munkedal%2C_Vastra_Gotaland%2C_Sweden-8.jpg,"https://commons.wikimedia.org/wiki/File:Coloeus_monedula_-Munkedal,_Vastra_Gotaland,_Sweden-8.jpg","Karl Jonsson from Göteborg, Sweden",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Coloeus monedula -Munkedal, Vastra Gotaland, Sweden-8.jpg; exact taxon match; normalized to local JPEG without EXIF."
