asset_id,type,section,name_ru,name_latin,local_path,source_url,source_page,author,license,license_url,attribution_required,status,risk,decision,permission_candidate,notes
species-image:Серый рофитоидес,species_image,species catalog,Серый рофитоидес,Rophitoides,,,,,,,no,needs_permission,high,remove_until_permission,yes,No conservative licensed replacement found automatically for search taxon 'Rophitoides canus'; get written permission or pick a licensed replacement manually.
species-audio:Ёж обыкновенный,species_audio,species catalog,Ёж обыкновенный,,backend/media/species-audio/erinaceus-europaeus.ogg,https://xeno-canto.org/1017411,,Xeno-canto / David Tattersley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Барсук,species_audio,species catalog,Барсук,,backend/media/species-audio/meles-meles.ogg,https://xeno-canto.org/960960,,Xeno-canto / Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Белоспинный дятел,species_audio,species catalog,Белоспинный дятел,,backend/media/species-audio/dendrocopos-leucotos.ogg,https://xeno-canto.org/1102707,,Xeno-canto / Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Беркут,species_audio,species catalog,Беркут,,backend/media/species-audio/aquila-chrysaetos.ogg,https://xeno-canto.org/1045328,,Xeno-canto / Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Благородный олень,species_audio,species catalog,Благородный олень,,backend/media/species-audio/cervus-elaphus.ogg,https://xeno-canto.org/1046509,,Xeno-canto / David Bissett,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Длиннохвостая неясыть,species_audio,species catalog,Длиннохвостая неясыть,,backend/media/species-audio/strix-uralensis.ogg,https://xeno-canto.org/1097186,,Xeno-canto / Jens Schöller,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Желна,species_audio,species catalog,Желна,,backend/media/species-audio/dryocopus-martius.ogg,https://xeno-canto.org/988771,,Xeno-canto / FRIEDRICH Richard,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Косуля,species_audio,species catalog,Косуля,,backend/media/species-audio/capreolus-capreolus.ogg,https://xeno-canto.org/1100395,,Xeno-canto / Cedric Mroczko,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Кулик-сорока,species_audio,species catalog,Кулик-сорока,,backend/media/species-audio/haematopus-ostralegus.ogg,https://xeno-canto.org/1101393,,Xeno-canto / Astrid Cervantes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Лесной жаворонок,species_audio,species catalog,Лесной жаворонок,,backend/media/species-audio/lullula-arborea.ogg,https://xeno-canto.org/1100453,,Xeno-canto / Teus Luijendijk,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Лисица обыкновенная,species_audio,species catalog,Лисица обыкновенная,,backend/media/species-audio/vulpes-vulpes.ogg,https://xeno-canto.org/1100142,,Xeno-canto / Thijs Calu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Мохноногий сыч,species_audio,species catalog,Мохноногий сыч,,backend/media/species-audio/aegolius-funereus.ogg,https://xeno-canto.org/1097665,,Xeno-canto / Dag Österlund,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
species-audio:Орел карлик,species_audio,species catalog,Орел карлик,,backend/media/species-audio/hieraaetus-pennatus.ogg,https://xeno-canto.org/1067347,,Xeno-canto / Albert Lastukhin,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,,no,needs_permission,high,exclude_until_permission,yes,NC/ND or otherwise incompatible audio is disabled for corporate deploy.
